Region,Leisure,Liquid,Rent,Price,Kerosene heater,Public health,Mixture,Gas cylinder,Filling station,State of emergency,Gasoline,Pressure,Petroleum industry,Lagos,Tecno,Drug,Flight,Made In China,Emergency management,Cooking,Management,Gas,Nigerian cuisine,Hyperinflation,Recreation,Fare,Meter,Cost,Import,Personal identification number,Natural environment,Unemployment,Natural gas,Credit,Printing,Economics,Recipe,Ideal gas law,Emirates Telecom,Pump,Rice,Code,Petroleum,used,Globacom Limited,Used good,Textile,Savings,Electricity meter,Data plan,Oil,Emergency,Bharti Airtel,Wealth,Drill,Rechargeable calling card,Stove,Dance,Policy,iPhone,China,Clothing,Investment,Economy,Refurbishment,Drinking water,MTN Group,Fried rice,Food prices,Cylinder,Footwear,Gas stove,Inflation rate,Car,Health,Jollof rice,Water,Emergency contraception,Data,Temperature,Outdoor recreation,Diesel fuel,Kitchen stove,Charcoal,Deflation,Health education,Liter,Business,Inflation,Borehole,Fuel,Industry,Health care,Passport,Tourism,Immigration,Sports betting,State,Abuja,Gambling,Do it yourself,Fee,Monetary policy,Infinix,Cook,Technology,Electricity,School,Kerosene,Samsung Galaxy,Airplane,University,Goods,Toyota,Food,Rate,Cost of living,Samsung,cheap,Health insurance,Tuition payments,Shoes,Budget,Mental health,Soup,Emergency telephone number
Delta,100,80,41,75,46.0,20,58,67,44,39.0,58,83,77,34,73,76,98,38.0,22,80,58,84,70,20.0,20,50,65,80,69,71,41,45,100,72,59,43,54,34,31,100,62,91,86,69,75,75.0,50,58,24.0,76,90,33,89,81,88,69,45.0,81,34,81,50,85,47,43,73.0,68,73,86,37.0,55,41.0,71,39.0,88,56,79,78,53.0,52,63,55.0,81,59,53,25.0,27,68,33,41,20,75,68,33,81,27,33,78,64,12,60,71,54,32,71,75,31,64,70,71,68,88,51,67,88,82,82,82.0,57,79,24,53,70,40,42,97,44.0
Osun,98,92,51,84,,65,90,74,94,39.0,100,98,26,42,69,85,87,28.0,27,67,77,97,66,66.0,30,70,88,86,84,80,64,89,44,79,90,89,47,59,20,61,68,90,37,91,82,51.0,100,57,31.0,56,74,39,79,59,69,55,68.0,62,70,89,29,95,39,91,83.0,88,83,86,66.0,78,67.0,73,91.0,94,77,89,92,61.0,70,86,52.0,47,75,73,46.0,44,81,40,87,26,67,97,61,83,43,37,60,100,8,55,75,100,66,70,53,63,82,91,67,55,97,85,90,82,88,88,83.0,55,72,23,92,78,52,82,52,55.0
Ogun State,96,94,86,97,46.0,38,87,81,95,46.0,95,94,28,100,68,71,94,33.0,27,81,69,100,70,60.0,31,70,100,100,95,77,49,85,51,90,91,70,57,39,41,93,75,89,37,81,72,72.0,96,67,40.0,72,84,49,99,64,69,53,60.0,72,51,87,31,98,42,71,96.0,81,84,92,68.0,100,78.0,100,77.0,100,63,91,87,54.0,69,75,73.0,79,91,68,39.0,31,91,38,72,28,85,90,46,100,41,40,56,77,8,53,98,92,52,65,62,51,86,100,69,59,100,86,100,97,91,90,90.0,64,89,20,82,87,55,78,65,94.0
Imo,96,86,42,81,64.0,53,74,86,57,56.0,43,78,41,31,84,94,100,46.0,18,96,55,80,93,36.0,28,57,64,82,66,91,54,53,60,63,62,58,55,40,24,71,71,100,50,89,50,68.0,60,55,17.0,50,89,45,75,78,73,68,57.0,79,42,81,45,83,47,64,90.0,86,82,100,45.0,70,71.0,80,43.0,82,66,90,85,75.0,53,71,51.0,56,74,64,39.0,32,66,35,52,28,77,77,45,83,35,36,79,87,11,88,71,53,39,87,100,39,67,76,88,66,97,54,63,78,96,100,77.0,65,93,24,51,62,41,64,95,52.0
Ekiti,92,85,51,76,,46,100,80,100,61.0,83,100,28,35,59,92,84,,20,63,71,95,65,100.0,33,77,71,81,68,69,65,89,39,100,72,74,34,60,10,68,73,98,34,94,54,61.0,85,58,22.0,49,67,47,72,54,72,50,75.0,57,56,100,27,87,38,78,91.0,81,88,92,71.0,83,62.0,70,60.0,93,65,100,88,77.0,72,88,76.0,58,62,78,28.0,44,67,40,65,30,61,98,44,64,51,29,67,98,10,57,65,89,63,61,54,55,72,86,70,49,89,77,83,74,100,81,80.0,60,65,20,77,75,56,79,46,76.0
Abia,91,86,29,84,,49,89,85,43,62.0,42,74,28,28,100,95,73,74.0,19,96,55,75,86,,26,59,62,73,72,83,52,57,47,57,62,61,55,43,37,72,76,92,37,84,50,100.0,88,60,20.0,60,96,42,84,75,62,71,67.0,89,37,70,47,88,52,66,100.0,87,100,99,46.0,73,82.0,81,33.0,78,68,85,88,62.0,58,59,37.0,56,68,73,39.0,37,66,35,53,28,58,73,42,68,31,30,96,72,10,95,80,57,41,97,96,39,66,78,100,70,74,59,76,77,93,97,79.0,63,83,31,54,72,41,62,100,53.0
Anambra,89,86,34,83,85.0,25,75,77,46,48.0,34,74,27,27,84,98,77,48.0,21,100,50,71,79,20.0,22,48,67,73,67,91,46,54,40,52,63,54,47,31,28,75,76,90,37,84,52,67.0,65,51,25.0,50,89,35,80,76,62,65,61.0,87,40,73,53,86,61,57,80.0,79,83,93,31.0,62,92.0,74,46.0,84,63,80,88,65.0,52,62,55.0,50,69,67,36.0,33,67,34,56,23,69,67,37,68,26,27,85,71,10,90,64,51,38,92,89,34,63,72,79,70,89,48,72,85,85,94,69.0,67,74,23,45,59,40,53,90,60.0
Niger,86,93,34,87,,57,90,77,43,50.0,50,76,27,23,73,73,57,58.0,45,53,79,74,61,,54,45,75,81,85,88,70,79,54,62,91,77,52,55,44,81,80,86,39,64,78,81.0,54,67,50.0,63,78,45,91,62,100,78,86.0,65,55,63,34,65,50,77,57.0,89,89,73,,93,49.0,82,57.0,78,83,57,93,51.0,74,79,100.0,58,80,81,39.0,76,73,37,67,54,74,97,56,50,37,42,61,71,40,52,80,84,53,88,37,69,100,85,48,72,76,67,74,78,83,72,52.0,72,53,25,57,57,70,64,52,50.0
Edo,84,77,36,70,46.0,21,61,55,43,42.0,42,80,46,32,57,72,85,47.0,18,80,50,74,66,24.0,23,45,62,77,62,67,43,50,53,74,59,48,50,34,24,65,66,73,51,59,74,68.0,49,53,15.0,46,81,35,100,100,69,52,45.0,100,40,74,100,78,39,52,73.0,67,59,85,40.0,50,41.0,61,40.0,85,49,88,72,69.0,50,71,34.0,48,52,51,30.0,28,67,23,43,28,60,69,36,80,31,33,99,63,11,52,61,52,40,65,57,33,58,66,62,65,83,49,69,80,81,76,67.0,52,67,23,47,66,38,50,85,58.0
Oyo,84,83,100,94,67.0,52,78,85,99,50.0,89,90,23,51,73,76,91,39.0,22,73,76,96,68,47.0,30,65,73,89,100,76,53,70,49,86,84,62,63,39,33,81,75,88,39,82,84,86.0,95,54,34.0,79,82,42,89,56,62,51,64.0,60,55,88,30,91,42,68,84.0,70,84,95,74.0,92,71.0,95,82.0,89,69,86,83,64.0,71,75,61.0,56,100,68,35.0,29,88,42,60,37,82,82,58,98,45,45,59,66,9,53,82,86,43,66,52,56,74,89,68,55,89,90,81,100,95,91,100.0,62,97,22,100,85,59,100,57,69.0
Enugu,79,96,46,83,57.0,45,92,70,49,68.0,37,95,30,30,65,96,94,41.0,23,99,79,82,95,35.0,29,59,85,90,82,83,65,90,54,56,76,83,63,53,37,72,77,80,47,86,65,87.0,64,55,36.0,60,86,47,82,75,68,61,77.0,83,72,71,41,89,59,92,96.0,96,75,95,48.0,66,100.0,76,70.0,83,79,86,97,91.0,64,79,71.0,49,71,82,36.0,46,100,40,74,26,75,100,64,68,45,35,72,72,14,58,87,57,71,72,84,56,74,77,89,63,87,63,75,84,93,95,88.0,56,87,32,49,67,58,86,81,58.0
Kogi,78,80,40,82,,31,65,73,60,79.0,59,67,25,26,90,76,60,,28,52,71,67,62,72.0,33,72,55,84,67,89,55,76,41,62,88,86,41,42,19,75,58,88,35,66,100,74.0,59,55,29.0,59,74,38,77,55,72,100,78.0,61,56,65,37,70,43,94,58.0,84,85,80,,66,48.0,80,75.0,77,64,76,78,67.0,68,60,53.0,55,74,83,46.0,44,63,39,85,47,75,81,42,48,33,37,74,86,34,86,65,76,65,85,47,51,72,86,57,55,77,86,68,69,77,76,60.0,50,59,25,57,55,63,52,51,57.0
Akwa Ibom,77,84,45,88,,39,86,100,51,55.0,55,95,72,29,83,92,99,35.0,25,75,80,94,100,38.0,31,100,80,87,82,83,71,74,93,64,80,70,60,33,30,92,68,79,76,80,57,60.0,67,64,38.0,62,100,46,88,65,84,70,67.0,89,58,59,30,100,53,84,86.0,100,76,81,100.0,81,46.0,81,61.0,76,79,73,100,65.0,65,62,86.0,100,80,65,42.0,49,73,47,68,33,100,90,45,54,36,38,96,65,12,77,93,56,51,84,67,60,86,86,74,53,71,52,68,88,86,88,91.0,53,71,31,46,75,61,80,84,58.0
Kwara,77,99,52,90,100.0,65,90,84,77,49.0,72,97,25,40,69,80,85,43.0,24,61,86,94,72,49.0,39,68,80,81,85,77,70,90,48,84,98,92,56,55,34,66,83,94,38,92,78,67.0,95,59,27.0,60,83,41,97,59,76,60,88.0,67,69,92,28,93,40,97,79.0,84,88,88,75.0,82,91.0,77,84.0,86,81,90,92,71.0,72,89,82.0,57,79,100,38.0,50,82,42,88,44,77,99,57,65,36,40,63,78,13,51,87,87,81,76,47,65,76,96,79,58,93,77,80,87,91,87,78.0,67,78,21,78,73,67,78,49,56.0
Kaduna,77,90,32,95,,38,76,65,36,100.0,47,88,33,26,64,70,78,39.0,56,55,83,84,74,43.0,37,58,77,80,73,77,68,77,63,61,80,90,82,50,52,83,74,68,49,66,54,91.0,61,54,100.0,68,85,46,88,58,96,60,75.0,74,77,70,35,71,43,90,79.0,83,74,68,79.0,73,50.0,73,81.0,81,77,67,88,61.0,73,93,61.0,63,72,75,55.0,53,86,36,81,47,82,95,62,51,30,54,60,65,35,42,93,62,58,76,40,58,95,76,67,70,90,66,62,87,69,79,62.0,69,61,27,54,84,76,63,52,59.0
