Month,Rice,Filling station,Gas cylinder,Textile,iPhone,Meter,Food,Mental health,Water,Cylinder,Price,Code,Jollof rice,Liter,Pressure,Oil,Emergency telephone number,Drug,Fee,Gambling,Mixture,Gas stove,Food prices,Soup,Kitchen stove,Passport,Cooking,Stove,Charcoal,Rate,Liquid,State,Cost of living,Nigerian cuisine,Gas,Personal identification number,Savings,Cost,Outdoor recreation,Electricity,Clothing,Leisure,Pump,Kerosene heater,Rent,Health,Goods,School,Infinix,Inflation rate,Health care,Temperature,Refurbishment,Fried rice,Investment,Petroleum industry,Flight,Data,Gasoline,Cook,Footwear,Abuja,Bharti Airtel,Electricity meter,Emergency contraception,used,Hyperinflation,Credit,Public health,Recreation,Emergency,Kerosene,Health education,Fuel,Dance,Wealth,Business,Samsung,Sports betting,Printing,Fare,MTN Group,Tecno,Lagos,China,Inflation,Globacom Limited,cheap,Airplane,Deflation,Borehole,State of emergency,Used good,Drinking water,Rechargeable calling card,Tuition payments,Do it yourself,Made In China,Technology,Diesel fuel,Emergency management,Budget,Shoes,Car,Economy,Immigration,University,Import,Health insurance,Ideal gas law,Management,Industry,Unemployment,Natural environment,Monetary policy,Samsung Galaxy,Policy,Drill,Economics,Petroleum,Data plan,Toyota,Tourism,Recipe,Natural gas,Emirates Telecom,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,Lag_8,Lag_9,Lag_10,Lag_11,Lag_12,Year-on-Year Change (%)
Jan '11,11.0,22.0,0.0,37.0,25.0,25.0,53.0,37.0,39.0,15.0,37.0,41.0,0.0,21.0,35.0,58.0,0.0,34.0,42.0,1.0,32.0,0.0,0.0,19.0,32.0,56.0,32.0,0.0,62.0,32.0,51.0,29.0,0.0,26.0,53.0,19.0,67.0,80.0,0.0,52.0,57.0,0.0,81.0,0.0,99.0,82.0,66.0,84.0,0.0,62.0,73.0,36.9,85.0,16.0,39.0,22.0,83.0,33.0,37.0,0.0,84.0,84.2,48.0,0.0,0.0,60.0,0.0,86.0,100.0,87.0,18.0,51.0,52.0,3.0,40.0,19.0,99.0,50.9,2.0,52.0,100.0,71.0,4.0,73.0,56.0,66.0,49.0,99.0,7.0,0.0,80.0,0.0,0.0,24.0,48.0,67.8,24.0,0.0,90.4,88.0,58.0,60.4,86.0,98.0,70.0,20.0,75.0,79.0,23.0,79.0,87.0,86.0,59.0,76.0,73.1,18.0,72.0,77.0,55.0,79.0,4.0,96.7,97.0,53.0,83.0,35.7,,,,,,,,,,,,,12.079665458508783
Feb '11,11.0,17.0,0.0,45.0,22.0,28.0,52.0,36.0,52.0,15.0,35.0,41.0,0.0,29.0,61.0,64.0,0.0,37.0,38.0,5.0,29.0,0.0,0.0,17.0,25.0,48.0,25.0,0.0,36.0,35.0,63.0,31.0,92.0,19.0,62.0,18.0,88.0,84.0,0.0,62.0,61.0,43.0,89.0,0.0,90.0,90.0,72.0,75.0,0.0,0.0,79.0,44.9,87.0,18.0,41.0,23.0,80.0,37.0,37.0,0.0,94.0,76.6,39.0,0.0,0.0,63.0,0.0,93.0,76.0,96.0,15.0,60.0,60.0,4.0,33.0,22.0,99.0,50.9,2.0,48.0,65.0,63.0,5.0,77.0,57.0,73.0,47.0,95.0,7.0,0.0,62.0,0.0,0.0,52.0,67.0,54.5,27.0,60.0,95.4,87.0,47.0,68.1,86.0,90.0,88.0,21.0,67.0,94.0,19.0,65.0,100.0,93.0,78.0,91.0,84.0,19.0,98.0,97.0,69.0,85.0,4.0,95.7,100.0,53.0,87.0,36.6,12.079665458508783,,,,,,,,,,,,11.099836633777144
Mar '11,14.0,0.0,0.0,39.0,23.0,28.0,57.0,31.0,55.0,22.0,35.0,42.0,0.0,33.0,62.0,66.0,0.0,38.0,42.0,1.0,36.0,0.0,0.0,18.0,34.0,60.0,29.0,0.0,44.0,35.0,56.0,32.0,46.0,22.0,64.0,17.0,65.0,83.0,0.0,63.0,53.0,24.0,100.0,0.0,96.0,89.0,71.0,78.0,0.0,0.0,83.0,43.9,58.0,12.0,38.0,38.0,96.0,39.0,38.0,11.0,85.0,76.6,41.0,0.0,0.0,67.0,0.0,99.0,81.0,66.0,17.0,55.0,57.0,3.0,36.0,20.0,93.0,52.0,2.0,53.0,65.0,62.0,5.0,87.0,55.0,84.0,84.0,97.0,8.0,55.0,82.0,0.0,37.0,33.0,82.0,53.3,32.0,75.0,97.5,96.0,100.0,63.3,87.0,89.0,81.0,20.0,60.0,100.0,32.0,50.0,96.0,98.0,89.0,100.0,82.0,25.0,95.0,100.0,65.0,100.0,3.0,89.7,99.0,52.0,100.0,46.3,11.099836633777144,12.079665458508783,,,,,,,,,,,12.779128371737784
Apr '11,11.0,22.0,0.0,39.0,22.0,21.0,52.0,20.0,46.0,24.0,36.0,39.0,0.0,29.0,46.0,58.0,0.0,34.0,35.0,1.0,30.0,30.0,0.0,19.0,37.0,47.0,32.0,0.0,100.0,32.0,50.0,34.0,55.0,32.0,55.0,20.0,64.0,77.0,0.0,54.0,60.0,23.0,97.0,0.0,91.0,77.0,58.0,69.0,0.0,0.0,77.0,35.9,82.0,23.0,37.0,23.0,100.0,35.0,37.0,0.0,71.0,72.8,41.0,0.0,0.0,61.0,0.0,85.0,86.0,92.0,16.0,43.0,44.0,4.0,38.0,19.0,88.0,54.1,2.0,45.0,59.0,58.0,4.0,84.0,52.0,77.0,51.0,98.0,7.0,0.0,53.0,0.0,0.0,35.0,85.0,47.8,40.0,88.0,82.4,89.0,59.0,49.9,88.0,100.0,70.0,20.0,54.0,74.0,25.0,54.0,84.0,82.0,87.0,81.0,85.9,27.0,68.0,68.0,59.0,74.0,7.0,89.7,98.0,57.0,90.0,42.4,12.779128371737784,11.099836633777144,12.079665458508783,,,,,,,,,,11.291281636673917
May '11,12.0,26.0,0.0,38.0,24.0,26.0,56.0,30.0,51.0,24.0,36.0,41.0,0.0,31.0,54.0,61.0,0.0,36.0,39.0,1.0,31.0,0.0,0.0,23.0,45.0,48.0,24.0,55.0,44.0,33.0,62.0,30.0,60.0,23.0,63.0,23.0,47.0,88.0,0.0,65.0,56.0,34.0,82.0,0.0,96.0,92.0,55.0,82.0,0.0,0.0,86.0,39.9,66.0,11.0,38.0,30.0,91.0,39.0,38.0,11.0,60.0,69.1,39.0,0.0,0.0,66.0,0.0,95.0,80.0,81.0,16.0,97.0,63.0,3.0,40.0,18.0,97.0,55.1,2.0,48.0,65.0,59.0,5.0,86.0,56.0,86.0,53.0,92.0,9.0,0.0,84.0,0.0,0.0,37.0,82.0,48.9,28.0,78.0,92.4,100.0,59.0,56.6,97.0,93.0,88.0,20.0,59.0,84.0,25.0,0.0,93.0,95.0,79.0,95.0,98.8,28.0,91.0,91.0,68.0,80.0,7.0,99.7,99.0,53.0,88.0,52.1,11.291281636673917,12.779128371737784,11.099836633777144,12.079665458508783,,,,,,,,,12.352127836387666
Jun '11,14.0,19.0,0.0,34.0,24.0,26.0,56.0,25.0,54.0,20.0,39.0,38.0,0.0,34.0,55.0,61.0,0.0,38.0,39.0,1.0,36.0,43.0,0.0,17.0,49.0,51.0,24.0,38.0,65.0,33.0,58.0,29.0,93.0,31.0,62.0,20.0,59.0,87.0,0.0,66.0,56.0,0.0,90.0,0.0,100.0,86.0,70.0,78.0,0.0,86.0,79.0,37.9,60.0,16.0,39.0,26.0,86.0,41.0,38.0,0.0,77.0,94.6,48.0,0.0,0.0,63.0,0.0,100.0,83.0,76.0,17.0,95.0,72.0,4.0,37.0,18.0,100.0,52.0,2.0,54.0,83.0,57.0,6.0,85.0,57.0,100.0,55.0,96.0,7.0,0.0,59.0,0.0,0.0,38.0,73.0,45.6,28.0,52.0,95.4,89.0,83.0,59.5,96.0,92.0,78.0,19.0,59.0,95.0,28.0,75.0,92.0,100.0,72.0,94.0,90.9,29.0,100.0,99.0,65.0,76.0,9.0,92.7,91.0,53.0,85.0,64.6,12.352127836387666,11.291281636673917,12.779128371737784,11.099836633777144,12.079665458508783,,,,,,,,10.23018264507374
Jul '11,11.0,24.0,24.7,38.0,23.0,24.0,53.0,29.0,51.0,16.0,37.0,40.0,0.0,24.0,53.0,61.0,0.0,36.0,44.0,0.0,40.0,0.0,0.0,16.0,28.0,50.0,27.0,0.0,50.0,33.0,56.0,27.0,58.0,19.0,51.0,21.0,82.0,83.0,0.0,63.0,57.0,20.0,94.0,0.0,96.0,88.0,46.0,72.0,0.0,75.0,76.0,34.9,60.0,16.0,41.0,35.0,96.0,38.0,36.0,8.0,100.0,78.5,39.0,0.0,0.0,60.0,0.0,96.0,70.0,93.0,12.0,83.0,56.0,4.0,36.0,20.0,93.0,57.2,2.0,51.0,69.0,60.0,7.0,100.0,60.0,89.0,59.0,88.0,7.0,0.0,100.0,0.0,0.0,41.0,88.0,48.9,27.0,54.0,100.5,78.0,43.0,59.5,91.0,87.0,74.0,20.0,86.0,99.0,28.0,66.0,91.0,96.0,77.0,81.0,87.9,34.0,91.0,95.0,60.0,84.0,9.0,92.7,87.0,49.0,85.0,55.9,10.23018264507374,12.352127836387666,11.291281636673917,12.779128371737784,11.099836633777144,12.079665458508783,,,,,,,9.397383392996446
Aug '11,10.0,25.0,0.0,35.0,23.0,21.0,51.0,29.0,39.0,12.0,37.0,38.0,0.0,24.0,52.0,58.0,0.0,31.0,40.0,1.0,28.0,24.0,0.0,18.0,43.0,52.0,29.0,52.0,58.0,34.0,60.0,23.0,75.0,21.0,51.0,21.0,58.0,76.0,0.0,52.0,57.0,25.0,83.0,0.0,85.0,85.0,54.0,71.0,0.0,50.0,74.0,33.9,72.0,15.0,35.0,24.0,82.0,35.0,32.0,10.0,98.0,93.7,35.0,0.0,0.0,55.0,0.0,96.0,73.0,52.0,15.0,49.0,46.0,3.0,37.0,20.0,91.0,58.2,2.0,52.0,52.0,66.0,6.0,94.0,54.0,58.0,60.0,88.0,6.0,0.0,67.0,0.0,29.0,27.0,70.0,40.0,31.0,100.0,93.4,73.0,54.0,47.9,96.0,89.0,71.0,17.0,100.0,70.0,36.0,0.0,92.0,86.0,65.0,78.0,88.9,35.0,86.0,87.0,56.0,70.0,9.0,84.8,90.0,57.0,78.0,56.9,9.397383392996446,10.23018264507374,12.352127836387666,11.291281636673917,12.779128371737784,11.099836633777144,12.079665458508783,,,,,,9.300722795317114
Sep '11,10.0,25.0,22.5,34.0,25.0,26.0,53.0,27.0,42.0,26.0,37.0,38.0,0.0,26.0,49.0,56.0,0.0,33.0,41.0,1.0,46.0,0.0,0.0,16.0,32.0,46.0,27.0,0.0,54.0,33.0,42.0,27.0,60.0,25.0,52.0,25.0,56.0,77.0,0.0,57.0,66.0,0.0,92.0,0.0,82.0,87.0,72.0,74.0,0.0,0.0,75.0,32.9,81.0,34.0,36.0,20.0,86.0,39.0,34.0,18.0,74.0,84.2,33.0,0.0,0.0,57.0,0.0,93.0,67.0,77.0,17.0,43.0,46.0,3.0,44.0,20.0,90.0,65.5,3.0,50.0,72.0,67.0,8.0,99.0,57.0,75.0,77.0,100.0,7.0,0.0,70.0,0.0,0.0,38.0,80.0,45.6,35.0,0.0,99.5,99.0,86.0,48.9,95.0,95.0,69.0,19.0,88.0,76.0,32.0,49.0,84.0,85.0,78.0,83.0,72.1,39.0,81.0,99.0,60.0,69.0,10.0,91.7,89.0,58.0,80.0,70.4,9.300722795317114,9.397383392996446,10.23018264507374,12.352127836387666,11.291281636673917,12.779128371737784,11.099836633777144,12.079665458508783,,,,,10.339031848420888
Oct '11,12.0,31.0,0.0,35.0,36.0,23.0,53.0,38.0,43.0,29.0,35.0,39.0,0.0,25.0,51.0,58.0,0.0,45.0,45.0,1.0,31.0,0.0,0.0,22.0,50.0,53.0,28.0,0.0,50.0,38.0,50.0,27.0,96.0,32.0,55.0,26.0,52.0,76.0,0.0,56.0,62.0,23.0,86.0,0.0,80.0,91.0,61.0,64.0,0.0,0.0,70.0,35.9,100.0,25.0,35.0,23.0,91.0,39.0,37.0,8.0,0.0,74.7,34.0,0.0,0.0,60.0,0.0,89.0,59.0,73.0,18.0,53.0,56.0,7.0,42.0,21.0,92.0,70.7,3.0,50.0,69.0,67.0,7.0,87.0,57.0,64.0,65.0,86.0,7.0,0.0,45.0,0.0,0.0,36.0,62.0,43.3,27.0,0.0,92.4,63.0,65.0,39.3,97.0,86.0,74.0,17.0,75.0,95.0,25.0,47.0,81.0,79.0,69.0,78.0,74.1,45.0,81.0,92.0,53.0,73.0,12.0,91.7,91.0,62.0,74.0,85.8,10.339031848420888,9.300722795317114,9.397383392996446,10.23018264507374,12.352127836387666,11.291281636673917,12.779128371737784,11.099836633777144,12.079665458508783,,,,10.544448402559452
