Month,Year-on-Year Change (%)
Jan '11,12.079665458508783
Feb '11,11.099836633777144
Mar '11,12.779128371737784
Apr '11,11.291281636673917
May '11,12.352127836387666
Jun '11,10.23018264507374
Jul '11,9.397383392996446
Aug '11,9.300722795317114
Sep '11,10.339031848420888
Oct '11,10.544448402559452
Nov '11,10.540005105306475
Dec '11,10.283025958087478
Jan '12,12.62596924006003
Feb '12,11.865685986505454
Mar '12,12.110898601245552
Apr '12,12.86566161133969
May '12,12.688297513444653
Jun '12,12.891980921908797
Jul '12,12.796876731112206
Aug '12,11.689272346301578
Sep '12,11.252990731920832
Oct '12,11.6933767622009
Nov '12,12.320069420943057
Dec '12,11.981084477377024
Jan '13,9.03122809678463
Feb '13,9.541969032435489
Mar '13,8.59327988836786
Apr '13,9.051524170137055
May '13,8.963892210305005
Jun '13,8.353156270755477
Jul '13,8.682261186275795
Aug '13,8.230815778301448
Sep '13,7.951913585277822
Oct '13,7.807248521544395
Nov '13,7.931397267546615
Dec '13,7.956880784733585
Jan '14,7.976545095034936
Feb '14,7.707050814205175
Mar '14,7.783373663267
Apr '14,7.851235117535936
May '14,7.964587781397682
Jun '14,8.166670551873764
Jul '14,8.281183920738329
Aug '14,8.53433023109082
Sep '14,8.316720055447277
Oct '14,8.06026217976563
Nov '14,7.927025552674721
Dec '14,7.978297048727612
Jan '15,8.157056235020562
Feb '15,8.358892187883058
Mar '15,8.493597302511759
Apr '15,8.655168684418129
May '15,9.003130312033065
Jun '15,9.167719216500076
Jul '15,9.217923612492868
Aug '15,9.335651156973682
Sep '15,9.39405332529624
Oct '15,9.295860227276036
Nov '15,9.368162097250092
Dec '15,9.553905111744612
Jan '16,9.61670448530228
Feb '16,11.379040910338944
Mar '16,12.774709778940192
Apr '16,13.72104444709244
May '16,15.577265107689016
Jun '16,16.480162512928985
Jul '16,17.12666284054056
Aug '16,17.609320172402377
Sep '16,17.85203854534865
Oct '16,18.329659144766808
Nov '16,18.476164721699437
Dec '16,18.54696377812237
Jan '17,18.71884076901749
Feb '17,17.780402228515086
Mar '17,17.25554443466524
Apr '17,17.244418823425292
May '17,16.251383902676125
Jun '17,16.09839757532056
Jul '17,16.052909607252047
Aug '17,16.01150160131064
Sep '17,15.979000297857311
Oct '17,15.905236164466714
Nov '17,15.901387604002622
Dec '17,15.37161259298088
Jan '18,15.126742362997676
Feb '18,14.329613357081357
Mar '18,13.337176276584188
Apr '18,12.482339429128103
May '18,11.607837708744457
Jun '18,11.230806763418258
Jul '18,11.141831477802413
Aug '18,11.22743567102276
Sep '18,11.284220822458792
Oct '18,11.259306700019977
Nov '18,11.280687433579187
Dec '18,11.441793242378282
Jan '19,11.37408332788685
Feb '19,11.305852907969552
Mar '19,11.25114956972982
Apr '19,11.3720680389074
May '19,11.396404772843
Jun '19,11.217315895871891
Jul '19,11.084457023953703
Aug '19,11.015909411514784
Sep '19,11.24375477733328
Oct '19,11.606981403706513
Nov '19,11.853517762739813
Dec '19,11.981569286402618
Jan '20,12.132305771432115
Feb '20,12.19853348404591
Mar '20,12.257324804486643
Apr '20,12.341464926171938
May '20,12.404248786049225
Jun '20,12.558719690353897
Jul '20,12.82071751303664
Aug '20,13.219513524561435
Sep '20,13.70662921174079
Oct '20,14.232742743160088
Nov '20,14.887260666279346
Dec '20,15.753386647855876
Jan '21,16.466347283844
Feb '21,17.33489631363041
Mar '21,18.171367740526605
Apr '21,18.116735352723936
May '21,17.933081938205618
Jun '21,17.750757261900702
Jul '21,17.377100345666975
Aug '21,17.009126570971006
Sep '21,16.629867193111252
Oct '21,15.993579823096963
Nov '21,15.395701999751154
Dec '21,15.625488850575335
Jan '22,15.60054453944882
Feb '22,15.702445752010718
Mar '22,15.915153179219942
Apr '22,16.818812338203998
May '22,17.711799316172616
Jun '22,18.595615795951687
Jul '22,19.64302020575441
Aug '22,20.52484198563917
Sep '22,20.77368821405277
Oct '22,21.08711512434445
Nov '22,21.4656389669928
Dec '22,21.34379451911694
Jan '23,21.816324933850566
Feb '23,21.909733496709396
Mar '23,22.04327431626024
Apr '23,22.22224653468905
May '23,22.413409601988945
Jun '23,22.78948899810871
Jul '23,24.07955474742414
Aug '23,25.797840371611457
Sep '23,26.71583183208321
Oct '23,27.329721703426443
Nov '23,28.200174389870625
Dec '23,28.921789803466595
Jan '24,29.899058738813608
Feb '24,31.698232462346965
Mar '24,33.20143267109671
Apr '24,33.69466531605451
May '24,33.95301435502475
Jun '24,34.19167154496853
Jul '24,33.39525189180512
Aug '24,32.1501322956575
Sep '24,32.69627577052279
Oct '24,33.87687231369938
Nov '24,34.598333642379174
Dec '24,34.79605744373819
Jan '25,28.8714194402945
Feb '25,27.9419467867661
Mar '25,27.0183285193381
